id,category,date,expense_amt_categorized,username
Vivekanand.M.UBIL230325,Bills & Utilities,2025-03-23,644,Vivekanand.M.U
Vivekanand.M.UBIL231124,Bills & Utilities,2024-11-23,500,Vivekanand.M.U
Vivekanand.M.UBIL241124,Bills & Utilities,2024-11-24,423,Vivekanand.M.U
Vivekanand.M.UBIL261224,Bills & Utilities,2024-12-26,856,Vivekanand.M.U
Vivekanand.M.UBIL280225,Bills & Utilities,2025-02-28,1201,Vivekanand.M.U
Vivekanand.M.UBIL301024,Bills & Utilities,2024-10-30,770,Vivekanand.M.U
Vivekanand.M.UEDU010125,Education,2025-01-01,838,Vivekanand.M.U
Vivekanand.M.UEDU021224,Education,2024-12-02,320,Vivekanand.M.U
Vivekanand.M.UEDU041124,Education,2024-11-04,1101,Vivekanand.M.U
Vivekanand.M.UEDU050225,Education,2025-02-05,133,Vivekanand.M.U
Vivekanand.M.UEDU090125,Education,2025-01-09,200,Vivekanand.M.U
Vivekanand.M.UEDU091124,Education,2024-11-09,416,Vivekanand.M.U
Vivekanand.M.UEDU100125,Education,2025-01-10,956,Vivekanand.M.U
Vivekanand.M.UEDU120125,Education,2025-01-12,1061,Vivekanand.M.U
Vivekanand.M.UEDU131224,Education,2024-12-13,735,Vivekanand.M.U
Vivekanand.M.UEDU140225,Education,2025-02-14,343,Vivekanand.M.U
Vivekanand.M.UEDU141124,Education,2024-11-14,654,Vivekanand.M.U
Vivekanand.M.UEDU150325,Education,2025-03-15,253,Vivekanand.M.U
Vivekanand.M.UEDU160225,Education,2025-02-16,659,Vivekanand.M.U
Vivekanand.M.UEDU160325,Education,2025-03-16,590,Vivekanand.M.U
Vivekanand.M.UEDU171124,Education,2024-11-17,1078,Vivekanand.M.U
Vivekanand.M.UEDU171224,Education,2024-12-17,309,Vivekanand.M.U
Vivekanand.M.UEDU180325,Education,2025-03-18,1124,Vivekanand.M.U
Vivekanand.M.UEDU200225,Education,2025-02-20,964,Vivekanand.M.U
Vivekanand.M.UEDU210325,Education,2025-03-21,1187,Vivekanand.M.U
Vivekanand.M.UEDU211124,Education,2024-11-21,1348,Vivekanand.M.U
Vivekanand.M.UEDU230125,Education,2025-01-23,747,Vivekanand.M.U
Vivekanand.M.UEDU230325,Education,2025-03-23,400,Vivekanand.M.U
Vivekanand.M.UEDU241224,Education,2024-12-24,580,Vivekanand.M.U
Vivekanand.M.UEDU251024,Education,2024-10-25,1024,Vivekanand.M.U
Vivekanand.M.UEDU260125,Education,2025-01-26,998,Vivekanand.M.U
Vivekanand.M.UEDU291124,Education,2024-11-29,1296,Vivekanand.M.U
Vivekanand.M.UEDU311224,Education,2024-12-31,1086,Vivekanand.M.U
Vivekanand.M.UENT010325,Entertainment,2025-03-01,1352,Vivekanand.M.U
Vivekanand.M.UENT011124,Entertainment,2024-11-01,884,Vivekanand.M.U
Vivekanand.M.UENT021124,Entertainment,2024-11-02,923,Vivekanand.M.U
Vivekanand.M.UENT040325,Entertainment,2025-03-04,132,Vivekanand.M.U
Vivekanand.M.UENT081124,Entertainment,2024-11-08,1011,Vivekanand.M.U
Vivekanand.M.UENT110225,Entertainment,2025-02-11,271,Vivekanand.M.U
Vivekanand.M.UENT160125,Entertainment,2025-01-16,176,Vivekanand.M.U
Vivekanand.M.UENT161124,Entertainment,2024-11-16,396,Vivekanand.M.U
Vivekanand.M.UENT171124,Entertainment,2024-11-17,729,Vivekanand.M.U
Vivekanand.M.UENT171224,Entertainment,2024-12-17,110,Vivekanand.M.U
Vivekanand.M.UENT180125,Entertainment,2025-01-18,762,Vivekanand.M.U
Vivekanand.M.UENT190125,Entertainment,2025-01-19,603,Vivekanand.M.U
Vivekanand.M.UENT210125,Entertainment,2025-01-21,585,Vivekanand.M.U
Vivekanand.M.UENT210225,Entertainment,2025-02-21,450,Vivekanand.M.U
Vivekanand.M.UENT220125,Entertainment,2025-01-22,1272,Vivekanand.M.U
Vivekanand.M.UENT220225,Entertainment,2025-02-22,852,Vivekanand.M.U
Vivekanand.M.UENT221124,Entertainment,2024-11-22,306,Vivekanand.M.U
Vivekanand.M.UENT221224,Entertainment,2024-12-22,954,Vivekanand.M.U
Vivekanand.M.UENT251124,Entertainment,2024-11-25,1329,Vivekanand.M.U
Vivekanand.M.UENT291024,Entertainment,2024-10-29,1079,Vivekanand.M.U
Vivekanand.M.UFOO021124,Food & Drink,2024-11-02,1046,Vivekanand.M.U
Vivekanand.M.UFOO030325,Food & Drink,2025-03-03,1339,Vivekanand.M.U
Vivekanand.M.UFOO050125,Food & Drink,2025-01-05,1402,Vivekanand.M.U
Vivekanand.M.UFOO061124,Food & Drink,2024-11-06,1139,Vivekanand.M.U
Vivekanand.M.UFOO070225,Food & Drink,2025-02-07,661,Vivekanand.M.U
Vivekanand.M.UFOO070325,Food & Drink,2025-03-07,750,Vivekanand.M.U
Vivekanand.M.UFOO080125,Food & Drink,2025-01-08,1088,Vivekanand.M.U
Vivekanand.M.UFOO080325,Food & Drink,2025-03-08,409,Vivekanand.M.U
Vivekanand.M.UFOO090225,Food & Drink,2025-02-09,799,Vivekanand.M.U
Vivekanand.M.UFOO090325,Food & Drink,2025-03-09,376,Vivekanand.M.U
Vivekanand.M.UFOO100325,Food & Drink,2025-03-10,1270,Vivekanand.M.U
Vivekanand.M.UFOO161224,Food & Drink,2024-12-16,1070,Vivekanand.M.U
Vivekanand.M.UFOO181124,Food & Drink,2024-11-18,698,Vivekanand.M.U
Vivekanand.M.UFOO190325,Food & Drink,2025-03-19,382,Vivekanand.M.U
Vivekanand.M.UFOO191124,Food & Drink,2024-11-19,657,Vivekanand.M.U
Vivekanand.M.UFOO201224,Food & Drink,2024-12-20,1310,Vivekanand.M.U
Vivekanand.M.UFOO211224,Food & Drink,2024-12-21,1284,Vivekanand.M.U
Vivekanand.M.UFOO230325,Food & Drink,2025-03-23,100,Vivekanand.M.U
Vivekanand.M.UFOO251124,Food & Drink,2024-11-25,526,Vivekanand.M.U
Vivekanand.M.UFOO310125,Food & Drink,2025-01-31,286,Vivekanand.M.U
Vivekanand.M.UFOO311224,Food & Drink,2024-12-31,612,Vivekanand.M.U
Vivekanand.M.UGIF020125,Gifts & Donations,2025-01-02,345,Vivekanand.M.U
Vivekanand.M.UGIF020325,Gifts & Donations,2025-03-02,601,Vivekanand.M.U
Vivekanand.M.UGIF030325,Gifts & Donations,2025-03-03,179,Vivekanand.M.U
Vivekanand.M.UGIF040125,Gifts & Donations,2025-01-04,214,Vivekanand.M.U
Vivekanand.M.UGIF040325,Gifts & Donations,2025-03-04,742,Vivekanand.M.U
Vivekanand.M.UGIF071224,Gifts & Donations,2024-12-07,1269,Vivekanand.M.U
Vivekanand.M.UGIF081224,Gifts & Donations,2024-12-08,915,Vivekanand.M.U
Vivekanand.M.UGIF110225,Gifts & Donations,2025-02-11,976,Vivekanand.M.U
Vivekanand.M.UGIF121224,Gifts & Donations,2024-12-12,1319,Vivekanand.M.U
Vivekanand.M.UGIF140125,Gifts & Donations,2025-01-14,904,Vivekanand.M.U
Vivekanand.M.UGIF141124,Gifts & Donations,2024-11-14,1378,Vivekanand.M.U
Vivekanand.M.UGIF141224,Gifts & Donations,2024-12-14,269,Vivekanand.M.U
Vivekanand.M.UGIF150225,Gifts & Donations,2025-02-15,1400,Vivekanand.M.U
Vivekanand.M.UGIF151124,Gifts & Donations,2024-11-15,1461,Vivekanand.M.U
Vivekanand.M.UGIF160325,Gifts & Donations,2025-03-16,508,Vivekanand.M.U
Vivekanand.M.UGIF170125,Gifts & Donations,2025-01-17,1291,Vivekanand.M.U
Vivekanand.M.UGIF170225,Gifts & Donations,2025-02-17,473,Vivekanand.M.U
Vivekanand.M.UGIF180225,Gifts & Donations,2025-02-18,877,Vivekanand.M.U
Vivekanand.M.UGIF231124,Gifts & Donations,2024-11-23,263,Vivekanand.M.U
Vivekanand.M.UGIF240125,Gifts & Donations,2025-01-24,523,Vivekanand.M.U
Vivekanand.M.UGIF241024,Gifts & Donations,2024-10-24,1308,Vivekanand.M.U
Vivekanand.M.UGIF241124,Gifts & Donations,2024-11-24,1272,Vivekanand.M.U
Vivekanand.M.UGIF250225,Gifts & Donations,2025-02-25,468,Vivekanand.M.U
Vivekanand.M.UGIF260125,Gifts & Donations,2025-01-26,990,Vivekanand.M.U
Vivekanand.M.UGIF260225,Gifts & Donations,2025-02-26,1328,Vivekanand.M.U
Vivekanand.M.UGIF261024,Gifts & Donations,2024-10-26,842,Vivekanand.M.U
Vivekanand.M.UGIF270225,Gifts & Donations,2025-02-27,1120,Vivekanand.M.U
Vivekanand.M.UGIF281024,Gifts & Donations,2024-10-28,114,Vivekanand.M.U
Vivekanand.M.UGIF301124,Gifts & Donations,2024-11-30,642,Vivekanand.M.U
Vivekanand.M.UGRO041124,Groceries,2024-11-04,971,Vivekanand.M.U
Vivekanand.M.UGRO041224,Groceries,2024-12-04,167,Vivekanand.M.U
Vivekanand.M.UGRO050125,Groceries,2025-01-05,293,Vivekanand.M.U
Vivekanand.M.UGRO051224,Groceries,2024-12-05,365,Vivekanand.M.U
Vivekanand.M.UGRO070125,Groceries,2025-01-07,1364,Vivekanand.M.U
Vivekanand.M.UGRO071124,Groceries,2024-11-07,1341,Vivekanand.M.U
Vivekanand.M.UGRO091224,Groceries,2024-12-09,1418,Vivekanand.M.U
Vivekanand.M.UGRO101224,Groceries,2024-12-10,1201,Vivekanand.M.U
Vivekanand.M.UGRO111224,Groceries,2024-12-11,739,Vivekanand.M.U
Vivekanand.M.UGRO150125,Groceries,2025-01-15,642,Vivekanand.M.U
Vivekanand.M.UGRO150225,Groceries,2025-02-15,1209,Vivekanand.M.U
Vivekanand.M.UGRO151124,Groceries,2024-11-15,1242,Vivekanand.M.U
Vivekanand.M.UGRO151224,Groceries,2024-12-15,132,Vivekanand.M.U
Vivekanand.M.UGRO160225,Groceries,2025-02-16,1309,Vivekanand.M.U
Vivekanand.M.UGRO161224,Groceries,2024-12-16,289,Vivekanand.M.U
Vivekanand.M.UGRO201124,Groceries,2024-11-20,674,Vivekanand.M.U
Vivekanand.M.UGRO201224,Groceries,2024-12-20,648,Vivekanand.M.U
Vivekanand.M.UGRO221224,Groceries,2024-12-22,603,Vivekanand.M.U
Vivekanand.M.UGRO230125,Groceries,2025-01-23,440,Vivekanand.M.U
Vivekanand.M.UGRO231024,Groceries,2024-10-23,486,Vivekanand.M.U
Vivekanand.M.UGRO251024,Groceries,2024-10-25,709,Vivekanand.M.U
Vivekanand.M.UGRO261124,Groceries,2024-11-26,797,Vivekanand.M.U
Vivekanand.M.UGRO271024,Groceries,2024-10-27,1377,Vivekanand.M.U
Vivekanand.M.UGRO271124,Groceries,2024-11-27,1213,Vivekanand.M.U
Vivekanand.M.UGRO280125,Groceries,2025-01-28,1009,Vivekanand.M.U
Vivekanand.M.UGRO290125,Groceries,2025-01-29,160,Vivekanand.M.U
Vivekanand.M.UHEA010125,Health & Wellness,2025-01-01,346,Vivekanand.M.U
Vivekanand.M.UHEA010225,Health & Wellness,2025-02-01,255,Vivekanand.M.U
Vivekanand.M.UHEA011224,Health & Wellness,2024-12-01,639,Vivekanand.M.U
Vivekanand.M.UHEA050325,Health & Wellness,2025-03-05,563,Vivekanand.M.U
Vivekanand.M.UHEA060325,Health & Wellness,2025-03-06,1130,Vivekanand.M.U
Vivekanand.M.UHEA091124,Health & Wellness,2024-11-09,1465,Vivekanand.M.U
Vivekanand.M.UHEA110225,Health & Wellness,2025-02-11,967,Vivekanand.M.U
Vivekanand.M.UHEA111224,Health & Wellness,2024-12-11,500,Vivekanand.M.U
Vivekanand.M.UHEA120225,Health & Wellness,2025-02-12,1406,Vivekanand.M.U
Vivekanand.M.UHEA120325,Health & Wellness,2025-03-12,807,Vivekanand.M.U
Vivekanand.M.UHEA131124,Health & Wellness,2024-11-13,896,Vivekanand.M.U
Vivekanand.M.UHEA140325,Health & Wellness,2025-03-14,581,Vivekanand.M.U
Vivekanand.M.UHEA180225,Health & Wellness,2025-02-18,1222,Vivekanand.M.U
Vivekanand.M.UHEA181224,Health & Wellness,2024-12-18,485,Vivekanand.M.U
Vivekanand.M.UHEA200225,Health & Wellness,2025-02-20,1031,Vivekanand.M.U
Vivekanand.M.UHEA200325,Health & Wellness,2025-03-20,1237,Vivekanand.M.U
Vivekanand.M.UHEA220325,Health & Wellness,2025-03-22,1157,Vivekanand.M.U
Vivekanand.M.UHEA251124,Health & Wellness,2024-11-25,391,Vivekanand.M.U
Vivekanand.M.UHEA271124,Health & Wellness,2024-11-27,578,Vivekanand.M.U
Vivekanand.M.UHEA271224,Health & Wellness,2024-12-27,1401,Vivekanand.M.U
Vivekanand.M.UHEA281224,Health & Wellness,2024-12-28,167,Vivekanand.M.U
Vivekanand.M.UHEA290125,Health & Wellness,2025-01-29,236,Vivekanand.M.U
Vivekanand.M.UHEA300125,Health & Wellness,2025-01-30,1295,Vivekanand.M.U
Vivekanand.M.UHEA311024,Health & Wellness,2024-10-31,379,Vivekanand.M.U
Vivekanand.M.UHOM010125,Home,2025-01-01,332,Vivekanand.M.U
Vivekanand.M.UHOM030225,Home,2025-02-03,835,Vivekanand.M.U
Vivekanand.M.UHOM040225,Home,2025-02-04,822,Vivekanand.M.U
Vivekanand.M.UHOM051124,Home,2024-11-05,1127,Vivekanand.M.U
Vivekanand.M.UHOM071224,Home,2024-12-07,750,Vivekanand.M.U
Vivekanand.M.UHOM080125,Home,2025-01-08,432,Vivekanand.M.U
Vivekanand.M.UHOM080225,Home,2025-02-08,665,Vivekanand.M.U
Vivekanand.M.UHOM090225,Home,2025-02-09,915,Vivekanand.M.U
Vivekanand.M.UHOM091224,Home,2024-12-09,209,Vivekanand.M.U
Vivekanand.M.UHOM100125,Home,2025-01-10,867,Vivekanand.M.U
Vivekanand.M.UHOM100225,Home,2025-02-10,122,Vivekanand.M.U
Vivekanand.M.UHOM100325,Home,2025-03-10,1319,Vivekanand.M.U
Vivekanand.M.UHOM111124,Home,2024-11-11,553,Vivekanand.M.U
Vivekanand.M.UHOM120325,Home,2025-03-12,770,Vivekanand.M.U
Vivekanand.M.UHOM131224,Home,2024-12-13,378,Vivekanand.M.U
Vivekanand.M.UHOM140325,Home,2025-03-14,488,Vivekanand.M.U
Vivekanand.M.UHOM141224,Home,2024-12-14,915,Vivekanand.M.U
Vivekanand.M.UHOM151124,Home,2024-11-15,287,Vivekanand.M.U
Vivekanand.M.UHOM160125,Home,2025-01-16,1430,Vivekanand.M.U
Vivekanand.M.UHOM161224,Home,2024-12-16,1012,Vivekanand.M.U
Vivekanand.M.UHOM181124,Home,2024-11-18,1195,Vivekanand.M.U
Vivekanand.M.UHOM190225,Home,2025-02-19,806,Vivekanand.M.U
Vivekanand.M.UHOM191224,Home,2024-12-19,122,Vivekanand.M.U
Vivekanand.M.UHOM210125,Home,2025-01-21,522,Vivekanand.M.U
Vivekanand.M.UHOM220325,Home,2025-03-22,1156,Vivekanand.M.U
Vivekanand.M.UHOM221124,Home,2024-11-22,1100,Vivekanand.M.U
Vivekanand.M.UHOM230225,Home,2025-02-23,1139,Vivekanand.M.U
Vivekanand.M.UHOM231224,Home,2024-12-23,554,Vivekanand.M.U
Vivekanand.M.UHOM261024,Home,2024-10-26,1220,Vivekanand.M.U
Vivekanand.M.UHOM270225,Home,2025-02-27,724,Vivekanand.M.U
Vivekanand.M.UHOM271024,Home,2024-10-27,717,Vivekanand.M.U
Vivekanand.M.UHOM271224,Home,2024-12-27,394,Vivekanand.M.U
Vivekanand.M.UHOM281024,Home,2024-10-28,1322,Vivekanand.M.U
Vivekanand.M.UHOM291024,Home,2024-10-29,141,Vivekanand.M.U
Vivekanand.M.UHOM301024,Home,2024-10-30,1117,Vivekanand.M.U
Vivekanand.M.UMIS021224,Miscellaneous,2024-12-02,642,Vivekanand.M.U
Vivekanand.M.UMIS040125,Miscellaneous,2025-01-04,1381,Vivekanand.M.U
Vivekanand.M.UMIS050225,Miscellaneous,2025-02-05,1335,Vivekanand.M.U
Vivekanand.M.UMIS070225,Miscellaneous,2025-02-07,796,Vivekanand.M.U
Vivekanand.M.UMIS071124,Miscellaneous,2024-11-07,675,Vivekanand.M.U
Vivekanand.M.UMIS090325,Miscellaneous,2025-03-09,773,Vivekanand.M.U
Vivekanand.M.UMIS100225,Miscellaneous,2025-02-10,630,Vivekanand.M.U
Vivekanand.M.UMIS101124,Miscellaneous,2024-11-10,679,Vivekanand.M.U
Vivekanand.M.UMIS120125,Miscellaneous,2025-01-12,1092,Vivekanand.M.U
Vivekanand.M.UMIS120325,Miscellaneous,2025-03-12,569,Vivekanand.M.U
Vivekanand.M.UMIS121124,Miscellaneous,2024-11-12,572,Vivekanand.M.U
Vivekanand.M.UMIS121224,Miscellaneous,2024-12-12,299,Vivekanand.M.U
Vivekanand.M.UMIS130125,Miscellaneous,2025-01-13,842,Vivekanand.M.U
Vivekanand.M.UMIS130225,Miscellaneous,2025-02-13,731,Vivekanand.M.U
Vivekanand.M.UMIS140125,Miscellaneous,2025-01-14,195,Vivekanand.M.U
Vivekanand.M.UMIS150325,Miscellaneous,2025-03-15,613,Vivekanand.M.U
Vivekanand.M.UMIS161124,Miscellaneous,2024-11-16,1357,Vivekanand.M.U
Vivekanand.M.UMIS180325,Miscellaneous,2025-03-18,1202,Vivekanand.M.U
Vivekanand.M.UMIS191224,Miscellaneous,2024-12-19,336,Vivekanand.M.U
Vivekanand.M.UMIS201124,Miscellaneous,2024-11-20,1293,Vivekanand.M.U
Vivekanand.M.UMIS220125,Miscellaneous,2025-01-22,1084,Vivekanand.M.U
Vivekanand.M.UMIS220225,Miscellaneous,2025-02-22,468,Vivekanand.M.U
Vivekanand.M.UMIS220325,Miscellaneous,2025-03-22,1206,Vivekanand.M.U
Vivekanand.M.UMIS230225,Miscellaneous,2025-02-23,145,Vivekanand.M.U
Vivekanand.M.UMIS240125,Miscellaneous,2025-01-24,845,Vivekanand.M.U
Vivekanand.M.UMIS240225,Miscellaneous,2025-02-24,753,Vivekanand.M.U
Vivekanand.M.UMIS241224,Miscellaneous,2024-12-24,600,Vivekanand.M.U
Vivekanand.M.UMIS251224,Miscellaneous,2024-12-25,1392,Vivekanand.M.U
Vivekanand.M.UMIS301124,Miscellaneous,2024-11-30,376,Vivekanand.M.U
Vivekanand.M.UMIS301224,Miscellaneous,2024-12-30,791,Vivekanand.M.U
Vivekanand.M.UMIS311024,Miscellaneous,2024-10-31,1056,Vivekanand.M.U
Vivekanand.M.UOTH030125,Other,2025-01-03,944,Vivekanand.M.U
Vivekanand.M.UOTH050225,Other,2025-02-05,1142,Vivekanand.M.U
Vivekanand.M.UOTH050325,Other,2025-03-05,876,Vivekanand.M.U
Vivekanand.M.UOTH051224,Other,2024-12-05,951,Vivekanand.M.U
Vivekanand.M.UOTH061224,Other,2024-12-06,542,Vivekanand.M.U
Vivekanand.M.UOTH071124,Other,2024-11-07,342,Vivekanand.M.U
Vivekanand.M.UOTH091124,Other,2024-11-09,236,Vivekanand.M.U
Vivekanand.M.UOTH110325,Other,2025-03-11,1449,Vivekanand.M.U
Vivekanand.M.UOTH111124,Other,2024-11-11,935,Vivekanand.M.U
Vivekanand.M.UOTH121124,Other,2024-11-12,407,Vivekanand.M.U
Vivekanand.M.UOTH130325,Other,2025-03-13,1246,Vivekanand.M.U
Vivekanand.M.UOTH190325,Other,2025-03-19,888,Vivekanand.M.U
Vivekanand.M.UOTH210225,Other,2025-02-21,225,Vivekanand.M.U
Vivekanand.M.UOTH231024,Other,2024-10-23,1215,Vivekanand.M.U
Vivekanand.M.UOTH231124,Other,2024-11-23,1061,Vivekanand.M.U
Vivekanand.M.UOTH240225,Other,2025-02-24,443,Vivekanand.M.U
Vivekanand.M.UOTH241124,Other,2024-11-24,321,Vivekanand.M.U
Vivekanand.M.UOTH250125,Other,2025-01-25,637,Vivekanand.M.U
Vivekanand.M.UOTH291224,Other,2024-12-29,1276,Vivekanand.M.U
Vivekanand.M.UOTH301124,Other,2024-11-30,812,Vivekanand.M.U
Vivekanand.M.UOTH311024,Other,2024-10-31,486,Vivekanand.M.U
Vivekanand.M.UPER011124,Personal,2024-11-01,866,Vivekanand.M.U
Vivekanand.M.UPER011224,Personal,2024-12-01,833,Vivekanand.M.U
Vivekanand.M.UPER020225,Personal,2025-02-02,252,Vivekanand.M.U
Vivekanand.M.UPER030225,Personal,2025-02-03,1183,Vivekanand.M.U
Vivekanand.M.UPER040325,Personal,2025-03-04,1454,Vivekanand.M.U
Vivekanand.M.UPER060225,Personal,2025-02-06,1046,Vivekanand.M.U
Vivekanand.M.UPER061124,Personal,2024-11-06,1171,Vivekanand.M.U
Vivekanand.M.UPER070125,Personal,2025-01-07,903,Vivekanand.M.U
Vivekanand.M.UPER080325,Personal,2025-03-08,727,Vivekanand.M.U
Vivekanand.M.UPER081224,Personal,2024-12-08,1276,Vivekanand.M.U
Vivekanand.M.UPER091224,Personal,2024-12-09,242,Vivekanand.M.U
Vivekanand.M.UPER100225,Personal,2025-02-10,749,Vivekanand.M.U
Vivekanand.M.UPER110125,Personal,2025-01-11,635,Vivekanand.M.U
Vivekanand.M.UPER131124,Personal,2024-11-13,1478,Vivekanand.M.U
Vivekanand.M.UPER150125,Personal,2025-01-15,527,Vivekanand.M.U
Vivekanand.M.UPER150225,Personal,2025-02-15,273,Vivekanand.M.U
Vivekanand.M.UPER151224,Personal,2024-12-15,1455,Vivekanand.M.U
Vivekanand.M.UPER160325,Personal,2025-03-16,202,Vivekanand.M.U
Vivekanand.M.UPER170125,Personal,2025-01-17,1229,Vivekanand.M.U
Vivekanand.M.UPER190125,Personal,2025-01-19,1494,Vivekanand.M.U
Vivekanand.M.UPER191224,Personal,2024-12-19,821,Vivekanand.M.U
Vivekanand.M.UPER230225,Personal,2025-02-23,1415,Vivekanand.M.U
Vivekanand.M.UPER231224,Personal,2024-12-23,986,Vivekanand.M.U
Vivekanand.M.UPER250225,Personal,2025-02-25,678,Vivekanand.M.U
Vivekanand.M.UPER270125,Personal,2025-01-27,473,Vivekanand.M.U
Vivekanand.M.UPER281224,Personal,2024-12-28,303,Vivekanand.M.U
Vivekanand.M.UPER290125,Personal,2025-01-29,753,Vivekanand.M.U
Vivekanand.M.UPET031124,Petrol & Gas,2024-11-03,1493,Vivekanand.M.U
Vivekanand.M.UPET031224,Petrol & Gas,2024-12-03,347,Vivekanand.M.U
Vivekanand.M.UPET041224,Petrol & Gas,2024-12-04,875,Vivekanand.M.U
Vivekanand.M.UPET070325,Petrol & Gas,2025-03-07,764,Vivekanand.M.U
Vivekanand.M.UPET080125,Petrol & Gas,2025-01-08,527,Vivekanand.M.U
Vivekanand.M.UPET081224,Petrol & Gas,2024-12-08,765,Vivekanand.M.U
Vivekanand.M.UPET100125,Petrol & Gas,2025-01-10,306,Vivekanand.M.U
Vivekanand.M.UPET110325,Petrol & Gas,2025-03-11,743,Vivekanand.M.U
Vivekanand.M.UPET130125,Petrol & Gas,2025-01-13,792,Vivekanand.M.U
Vivekanand.M.UPET150125,Petrol & Gas,2025-01-15,940,Vivekanand.M.U
Vivekanand.M.UPET160225,Petrol & Gas,2025-02-16,1478,Vivekanand.M.U
Vivekanand.M.UPET200125,Petrol & Gas,2025-01-20,1380,Vivekanand.M.U
Vivekanand.M.UPET200325,Petrol & Gas,2025-03-20,1269,Vivekanand.M.U
Vivekanand.M.UPET211124,Petrol & Gas,2024-11-21,144,Vivekanand.M.U
Vivekanand.M.UPET220225,Petrol & Gas,2025-02-22,295,Vivekanand.M.U
Vivekanand.M.UPET230125,Petrol & Gas,2025-01-23,250,Vivekanand.M.U
Vivekanand.M.UPET230325,Petrol & Gas,2025-03-23,578,Vivekanand.M.U
Vivekanand.M.UPET241024,Petrol & Gas,2024-10-24,680,Vivekanand.M.U
Vivekanand.M.UPET250125,Petrol & Gas,2025-01-25,1165,Vivekanand.M.U
Vivekanand.M.UPET261024,Petrol & Gas,2024-10-26,758,Vivekanand.M.U
Vivekanand.M.UPET271024,Petrol & Gas,2024-10-27,658,Vivekanand.M.U
Vivekanand.M.UPET280125,Petrol & Gas,2025-01-28,1113,Vivekanand.M.U
Vivekanand.M.UPET291224,Petrol & Gas,2024-12-29,319,Vivekanand.M.U
Vivekanand.M.UPET311224,Petrol & Gas,2024-12-31,1452,Vivekanand.M.U
Vivekanand.M.UPRO010225,Professional Services,2025-02-01,449,Vivekanand.M.U
Vivekanand.M.UPRO021124,Professional Services,2024-11-02,810,Vivekanand.M.U
Vivekanand.M.UPRO050325,Professional Services,2025-03-05,482,Vivekanand.M.U
Vivekanand.M.UPRO060125,Professional Services,2025-01-06,181,Vivekanand.M.U
